Height,Weight,HandSize,ArmLength,FortyTime,TwentyTime,TenTime,Bench,Vertical,BroadJump,Shuttle,ThreeCone,SixtyShuttle,LastYearRecAvg,CareerRecAvg,LastYearReturnAvg,CareerReturnAvg,DraftRound,College,DraftYear,CareerRec,LastYearRec
68.0,180.0,,,,,,,,,,,,13.7,14.6,19.9,18.8,0,Georgia State,2019,2960,669
73.13,201.0,,,,,,,,,,,,0,0,0,0,0,Texas,2019,0,0
73.13,183.0,,,,,,,,,,,,0,0,0,0,0,Morgan State (MD),2019,0,0
75.63,210.0,9.5,32.75,4.75,2.77,1.65,13.0,33.5,119.0,4.29,7.09,,0,0,0,0,0,Texas,2019,0,0
76.63,226.0,10.25,32.0,,,,23.0,,,,,,0,0,0,0,3,Baylor,2019,0,0
73.5,204.0,,,,,,,,,,,,11.4,11.4,0,0,0,Stanford,2019,1738,685
68.75,188.0,8.38,29.75,4.31,2.61,1.58,15.0,36.5,121.0,4.15,6.95,,16.6,15.3,,19.3,2,Massachusetts,2019,3526,1698
69.75,170.0,,,,,,,,,,,,13.1,12.3,0,0,0,Maryland,2019,1145,328
73.0,214.0,9.63,32.5,4.42,2.67,1.55,20.0,37.0,127.0,4.15,7.32,,17.0,13.7,0,0,4,West Virginia,2019,2294,917
73.88,209.0,9.38,31.38,,,,18.0,32.5,122.0,,,,0,0,0,0,0,Buffalo,2019,0,0
70.5,183.0,9.0,30.75,4.53,2.63,1.59,15.0,33.5,123.0,4.45,7.09,,15.5,16.6,25.8,23.4,3,Toledo,2019,2235,761
70.75,188.0,,,,,,,,,,,,20.6,18.1,22.0,19.0,0,Toledo,2019,2265,660
73.13,201.0,9.5,32.0,4.6,2.69,1.62,14.0,30.0,117.0,4.23,7.28,,14.1,12.6,0,0,6,Frenso State (CA),2019,3463,1340
72.5,204.0,,,4.51,2.64,1.61,14.0,38.0,124.0,4.16,6.88,,14.7,16.2,0,0,7,Colorado State,2019,2019,796
72.88,193.0,,,,,,,,,,,,15.9,16.1,,20.3,0,Oklahoma State,2019,1288,845
76.5,204.0,,,,,,,,,,,,9.8,9.2,0,0,0,Alabama,2019,101,39
